T03,Population growth and indicators of fertility and mortality,,,,,
826,United Kingdom,2020,Life expectancy at birth for females (years),82.4,"Refers to the United Kingdom of Great Britain and Northern Ireland. For statistical purposes, the data for United Kingdom do not include Anguilla, Bermuda, British Virgin Islands, Cayman Islands, Channel Islands, Falkland Islands (Malvinas), Gibraltar, Isle of Man, Montserrat, Saint Helena, Turks and Caicos Islands.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
834,United Rep. of Tanzania,2020,Population annual rate of increase (percent),3,Including Zanzibar.,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
834,United Rep. of Tanzania,2020,Total fertility rate (children per women),4.8,Including Zanzibar.,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
834,United Rep. of Tanzania,2020,"Infant mortality for both sexes (per 1,000 live births)",35.3,Including Zanzibar.,"United Nations Statistics Division, New York, ""Demographic Yearbook 2021"" and the demographic statistics database, last accessed June 2022."
834,United Rep. of Tanzania,2020,"Maternal mortality ratio (deaths per 100,000 population)",238,,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 2000 - 2020."""
834,United Rep. of Tanzania,2020,Life expectancy at birth for both sexes (years),66.4,Including Zanzibar.,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
834,United Rep. of Tanzania,2020,Life expectancy at birth for males (years),64.4,Including Zanzibar.,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
834,United Rep. of Tanzania,2020,Life expectancy at birth for females (years),68.5,Including Zanzibar.,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
840,United States of America,2020,Population annual rate of increase (percent),0.3,"For statistical purposes, the data for United States of America do not include American Samoa, Guam, Northern Mariana Islands, Puerto Rico, and United States Virgin Islands.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
840,United States of America,2020,Total fertility rate (children per women),1.6,"For statistical purposes, the data for United States of America do not include American Samoa, Guam, Northern Mariana Islands, Puerto Rico, and United States Virgin Islands.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
840,United States of America,2020,"Infant mortality for both sexes (per 1,000 live births)",5.5,"For statistical purposes, the data for United States of America do not include American Samoa, Guam, Northern Mariana Islands, Puerto Rico, and United States Virgin Islands.","United Nations Statistics Division, New York, ""Demographic Yearbook 2021"" and the demographic statistics database, last accessed June 2022."
840,United States of America,2020,"Maternal mortality ratio (deaths per 100,000 population)",21,,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 2000 - 2020."""
840,United States of America,2020,Life expectancy at birth for both sexes (years),77.4,"For statistical purposes, the data for United States of America do not include American Samoa, Guam, Northern Mariana Islands, Puerto Rico, and United States Virgin Islands.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
840,United States of America,2020,Life expectancy at birth for males (years),74.6,"For statistical purposes, the data for United States of America do not include American Samoa, Guam, Northern Mariana Islands, Puerto Rico, and United States Virgin Islands.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
840,United States of America,2020,Life expectancy at birth for females (years),80.3,"For statistical purposes, the data for United States of America do not include American Samoa, Guam, Northern Mariana Islands, Puerto Rico, and United States Virgin Islands.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
858,Uruguay,2020,Population annual rate of increase (percent),0,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
858,Uruguay,2020,Total fertility rate (children per women),1.5,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
858,Uruguay,2020,"Infant mortality for both sexes (per 1,000 live births)",4.7,,"United Nations Statistics Division, New York, ""Demographic Yearbook 2021"" and the demographic statistics database, last accessed June 2022."
858,Uruguay,2020,"Maternal mortality ratio (deaths per 100,000 population)",19,,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 2000 - 2020."""
